id,host_id,neighbourhood_cleansed,latitude,longitude,host_since,price,price_category,price_per_person,room_type,property_type,accommodates,host_total_listings_count,host_professional,host_scope,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,host_is_superhost,estimated_revenue_l365d,estimated_occupancy_l365d
69998,353156,Palma de Mallorca,39.56987,2.65464,2011-01-19,164.0,Mid-range,82.0,Entire home/apt,Entire loft,2,5.0,True,Mixed,266,4.95,4.92,4.94,4.95,4.97,4.89,4.81,1.6,f,20992.0,128
106833,551974,Sant Llorenç des Cardassar,39.61458,3.301,2011-05-02,200.0,Mid-range,50.0,Entire home/apt,Entire villa,4,1.0,False,Local,32,4.88,4.84,4.84,4.91,4.94,4.56,4.66,0.2,f,10000.0,50
159218,763897,Selva,39.79185001014078,2.9086981581834053,2011-06-30,160.0,Mid-range,53.333333333333336,Entire home/apt,Entire cottage,3,2.0,False,Local,407,4.92,4.88,4.93,4.96,4.95,4.82,4.75,2.38,t,35840.0,224
166820,794829,Banyalbufar,39.67894,2.50052,2011-07-08,75.0,Budget,37.5,Private room,Private room in home,2,4.0,True,Mixed,359,4.68,4.75,4.35,4.86,4.91,4.94,4.59,2.09,f,19125.0,255
210156,1036132,Alcúdia,39.83462,3.11031,2011-08-29,92.0,Budget,46.0,Private room,Private room in chalet,2,3.0,False,Local,132,4.91,4.96,4.96,4.96,4.97,4.7,4.84,0.83,t,7728.0,84
233901,1224723,Santanyí,39.30207,3.07507,2011-09-29,208.0,Premium,34.666666666666664,Entire home/apt,Entire cottage,6,2.0,False,Mixed,99,4.75,4.83,4.6,4.83,4.81,4.77,4.65,0.62,t,13312.0,64
255161,1340774,Fornalutx,39.81475,2.74256,2011-10-27,585.0,Luxury,39.0,Entire home/apt,Castle,15,1.0,False,Local,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.01,f,0.0,0
257206,794829,Banyalbufar,39.68696,2.51196,2011-07-08,75.0,Budget,25.0,Private room,Private room in home,3,4.0,True,Mixed,368,4.57,4.72,4.28,4.87,4.88,4.9,4.58,2.25,f,19125.0,255
268350,1399635,Selva,39.7744,2.89687,2011-11-12,105.0,Mid-range,26.25,Entire home/apt,Entire home,4,1.0,False,Local,273,4.91,4.94,4.93,4.97,4.98,4.89,4.86,1.65,t,26775.0,255
324256,1659633,Campos,39.40072,3.02327,2012-01-27,536.0,Luxury,67.0,Entire home/apt,Entire home,8,1.0,False,Local,17,4.71,4.76,4.53,4.41,4.82,4.65,4.53,0.12,f,12864.0,24
327107,983151,Llucmajor,39.38086,2.93639,2011-08-17,130.0,Mid-range,65.0,Entire home/apt,Entire home,2,9.0,True,Global,9,4.67,4.78,4.56,4.44,4.67,4.67,4.56,0.07,f,0.0,0
328541,704889,Palma de Mallorca,39.58098983764648,2.664944887161255,2011-06-15,190.0,Mid-range,95.0,Entire home/apt,Entire townhouse,2,2.0,False,Mixed,356,4.78,4.84,4.66,4.95,4.97,4.52,4.58,2.16,f,31920.0,168
335672,1202274,Alcúdia,39.84058,3.15525,2011-09-24,350.0,Premium,87.5,Entire home/apt,Entire home,4,1.0,False,Local,209,4.69,4.73,4.86,4.85,4.77,4.76,4.46,1.28,t,24500.0,70
337083,1714270,Palma de Mallorca,39.53628,2.71845,2012-02-07,123.0,Mid-range,30.75,Entire home/apt,Entire condo,4,1.0,False,Local,99,4.73,4.83,4.82,4.92,4.95,4.8,4.72,0.6,t,0.0,0
343193,1741287,Santa Margalida,39.71234,3.14772,2012-02-12,110.0,Mid-range,18.333333333333332,Entire home/apt,Entire cottage,6,1.0,False,Local,33,4.94,4.97,4.91,4.97,4.97,4.88,4.77,0.23,f,0.0,0
